2020-08-19 12:08:47 INFO  Browser :82 - URL has been opened: http://computer-database.herokuapp.com/computers
2020-08-19 12:08:343 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:441 INFO  BaseClass :81 - Entered text: ASUS ROG 3 in element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:449 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:477 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:89 INFO  BaseClass :65 - Clicked on element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
2020-08-19 12:08:112 INFO  AddComputerPage :130 - Found: ASUS ROG 3 in Computer Name search results
2020-08-19 12:08:456 INFO  AddComputerPage :132 - Clicked on Computer Name: ASUS ROG 3
2020-08-19 12:08:532 INFO  BaseClass :115 - IBM has been selected from available dropdown options
2020-08-19 12:08:542 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: input[type='submit']]
2020-08-19 12:08:572 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: input[type='submit']]
2020-08-19 12:08:232 INFO  BaseClass :65 - Clicked on element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: input[type='submit']]
2020-08-19 12:08:240 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:270 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:280 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:308 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: .alert-message]
2020-08-19 12:08:308 INFO  BaseClass :98 - Success message is displayed
2020-08-19 12:08:685 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:711 INFO  WaitHelper :28 - Found Element on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:809 INFO  BaseClass :81 - Entered text: ASUS ROG 1 in element: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> id: searchbox]
2020-08-19 12:08:816 INFO  WaitHelper :26 - Waiting for element to be visible on page: [[ChromeDriver: chrome on WINDOWS (7a34ed90084d392c3efc9c52460403c2)] -> css selector: #searchsubmit]
